03111,   1 , 1,3,10/24/08 00:00:00,0311,24
03111,   2 , 1,3,10/13/08 00:00:00,0321,22
03111,   3 , 1,3,10/13/08 00:00:00,0331,21
03111,   5 , 1,3,10/01/08 00:00:00,0351,20
03111,   6 , 1,3,10/09/08 00:00:00,0361,23
03111,   7 , 1,3,10/27/08 00:00:00,0371,25
03111,   8 , 1,3,11/14/08 00:00:00,0381,26
03111,  12 , 1,3,09/22/08 00:00:00,03121,18
03111,  13 , 1,3,09/29/08 00:00:00,03131,19
03111,  17 , 1,3,09/17/08 00:00:00,03171,17
03111,  18 , 1,3,09/15/08 00:00:00,03181,15
03111,  19 , 1,3,09/16/08 00:00:00,03191,16
03111,  20 , 1,3,09/16/08 00:00:00,03201,14
03111,  22 , 1,5,08/25/08 00:00:00,03221,11
03111,  23 , 1,3,08/29/08 00:00:00,03231,1
03111,  24 , 1,3,08/27/08 00:00:00,03241,2
03111,  25 , 1,3,11/21/08 00:00:00,03251,27
03111,  26 , 1,3,08/27/08 00:00:00,03261,5
03111,  27 , 1,3,08/25/08 00:00:00,03271,7
03111,  28 , 1,3,08/26/08 00:00:00,03281,8
03111,  29 , 1,3,08/26/08 00:00:00,03291,10
03111,  35 , 1,3,09/09/08 00:00:00,03351,12
03111,  37 , 1,3,09/09/08 00:00:00,03371,13
